"id","dt","c_name","continent","nowConfirm","confirm","confirmAdd","suspect","heal","dead","confirmAddCut","confirmCompare","nowConfirmCompare","healCompare","deadCompare"
"1","31/8/2021 00:00:00","美国","北美洲","8187367","39668541","3051","0","30826478","654696","0","0","0","0","0"
"2","30/8/2021 00:00:00","印度","亚洲","1324981","32737939","42909","0","30974748","438210","0","0","0","0","0"
"3","30/8/2021 00:00:00","巴西","南美洲","2391279","20741815","13210","0","17771228","579308","0","0","0","0","0"
"4","30/8/2021 00:00:00","法国","欧洲","6297529","6827146","13630","0","415111","114506","0","0","0","0","0"
"5","30/8/2021 00:00:00","俄罗斯","欧洲","977427","6785465","0","0","5629581","178457","0","0","0","0","0"
"6","30/8/2021 00:00:00","英国","欧洲","6605452","6762904","32979","0","24692","132760","0","0","0","0","0"
"7","30/8/2021 00:00:00","土耳其","亚洲","795376","6329519","0","0","5478185","55958","0","0","0","0","0"
"8","30/8/2021 00:00:00","阿根廷","南美洲","446314","5173531","2073","0","4615834","111383","0","0","0","0","0"
"9","30/8/2021 00:00:00","伊朗","亚洲","1352717","4926964","0","0","3467765","106482","0","0","0","0","0"
"10","30/8/2021 00:00:00","哥伦比亚","南美洲","165093","4905258","1954","0","4615354","124811","0","0","0","0","0"
"11","31/8/2021 00:00:00","西班牙","欧洲","489616","4831809","0","0","4258193","84000","0","0","0","0","0"
"12","30/8/2021 00:00:00","意大利","欧洲","256545","4530246","5954","0","4144608","129093","0","0","0","0","0"
"13","30/8/2021 00:00:00","印度尼西亚","亚洲","994262","4073831","0","0","2947646","131923","0","0","0","0","0"
"14","30/8/2021 00:00:00","德国","欧洲","188656","3940212","5796","0","3659410","92146","0","0","0","0","0"
"15","30/8/2021 00:00:00","墨西哥","北美洲","807108","3335700","6837","0","2270427","258165","0","0","0","0","0"
"16","30/8/2021 00:00:00","波兰","欧洲","158794","2888231","0","0","2654097","75340","0","0","0","0","0"
"17","30/8/2021 00:00:00","南非","非洲","424733","2764931","7740","0","2258603","81595","0","0","0","0","0"
"18","30/8/2021 00:00:00","乌克兰","欧洲","65207","2381553","0","0","2259446","56900","0","0","0","0","0"
"19","1/9/2021 00:00:00","秘鲁","南美洲","230663","2149591","7448","0","1720665","198263","0","0","0","0","0"
"20","30/8/2021 00:00:00","荷兰","欧洲","1924600","1971713","69","0","28771","18342","0","0","0","0","0"
"21","30/8/2021 00:00:00","菲律宾","亚洲","293098","1954023","0","0","1627816","33109","0","0","0","0","0"
"22","30/8/2021 00:00:00","伊拉克","亚洲","351515","1874435","0","0","1502221","20699","0","0","0","0","0"
"23","30/8/2021 00:00:00","马来西亚","亚洲","713376","1706089","0","0","976626","16087","0","0","0","0","0"
"24","30/8/2021 00:00:00","捷克","欧洲","6975","1678862","0","0","1641485","30402","0","0","0","0","0"
"25","30/8/2021 00:00:00","智利","南美洲","25567","1637829","595","0","1575377","36885","0","0","0","0","0"
"26","30/8/2021 00:00:00","加拿大","北美洲","64266","1497283","957","0","1406063","26954","0","0","0","0","0"
"27","30/8/2021 00:00:00","孟加拉","亚洲","310579","1493537","3948","0","1156943","26015","0","0","0","0","0"
"28","30/8/2021 00:00:00","日本","亚洲","586029","1460303","195","0","858305","15969","0","0","0","0","0"
"29","30/8/2021 00:00:00","比利时","欧洲","1152549","1177909","0","0","0","25360","0","0","0","0","0"
"30","30/8/2021 00:00:00","泰国","亚洲","1136075","1174091","0","0","26873","11143","0","0","0","0","0"
"31","30/8/2021 00:00:00","巴基斯坦","亚洲","177995","1156281","3800","0","952616","25670","0","0","0","0","0"
"32","30/8/2021 00:00:00","瑞典","欧洲","1108728","1123413","0","0","0","14685","0","0","0","0","0"
"33","30/8/2021 00:00:00","罗马尼亚","欧洲","14010","1096753","0","0","1048215","34528","0","0","0","0","0"
"34","30/8/2021 00:00:00","以色列","亚洲","188917","1051609","4861","0","855703","6989","0","0","0","0","0"
"35","30/8/2021 00:00:00","葡萄牙","欧洲","104606","1034947","0","0","912620","17721","0","0","0","0","0"
"36","30/8/2021 00:00:00","哈萨克斯坦","亚洲","287108","854842","5285","0","555079","12655","0","0","0","0","0"
"37","30/8/2021 00:00:00","摩洛哥","非洲","258244","853373","3841","0","582692","12437","0","0","0","0","0"
"38","30/8/2021 00:00:00","匈牙利","欧洲","30694","811706","0","0","750955","30057","0","0","0","0","0"
"39","30/8/2021 00:00:00","约旦","亚洲","31772","795161","811","0","753006","10383","0","0","0","0","0"
"40","30/8/2021 00:00:00","瑞士","欧洲","442200","770765","0","0","317600","10965","0","0","0","0","0"
"41","30/8/2021 00:00:00","尼泊尔","亚洲","84845","759222","0","0","663663","10714","0","0","0","0","0"
"42","30/8/2021 00:00:00","塞尔维亚","欧洲","750351","757617","0","0","0","7266","0","0","0","0","0"
"43","30/8/2021 00:00:00","阿联酋","亚洲","48750","716381","0","0","665593","2038","0","0","0","0","0"
"44","30/8/2021 00:00:00","奥地利","欧洲","30335","685956","0","0","644840","10781","0","0","0","0","0"
"45","30/8/2021 00:00:00","突尼斯","非洲","106673","660587","0","0","530545","23369","0","0","0","0","0"
"46","30/8/2021 00:00:00","古巴","北美洲","253153","640438","6277","0","382141","5144","0","0","0","0","0"
"47","30/8/2021 00:00:00","黎巴嫩","亚洲","54754","600451","1153","0","537653","8044","0","0","0","0","0"
"48","30/8/2021 00:00:00","希腊","欧洲","473970","581315","1581","0","93764","13581","0","0","0","0","0"
"49","30/8/2021 00:00:00","沙特阿拉伯","亚洲","27432","543318","0","0","507374","8512","0","0","0","0","0"
"50","30/8/2021 00:00:00","格鲁吉亚","亚洲","142414","543118","0","0","393453","7251","0","0","0","0","0"
"51","30/8/2021 00:00:00","厄瓜多尔","南美洲","25028","501140","91","0","443880","32232","0","0","0","0","0"
"52","30/8/2021 00:00:00","玻利维亚","南美洲","59815","490056","254","0","411830","18411","0","0","0","0","0"
"53","30/8/2021 00:00:00","白俄罗斯","欧洲","30936","479306","0","0","444613","3757","0","0","0","0","0"
"54","30/8/2021 00:00:00","危地马拉","北美洲","121827","465059","1306","0","331374","11858","0","0","0","0","0"
"55","30/8/2021 00:00:00","巴拉圭","南美洲","18647","458334","43","0","423964","15723","0","0","0","0","0"
"56","30/8/2021 00:00:00","巴拿马","北美洲","29507","456666","463","0","420113","7046","0","0","0","0","0"
"57","30/8/2021 00:00:00","哥斯达黎加","北美洲","115594","455784","0","0","334759","5431","0","0","0","0","0"
"58","30/8/2021 00:00:00","保加利亚","欧洲","34147","451599","451","0","398721","18731","0","0","0","0","0"
"59","30/8/2021 00:00:00","越南","亚洲","370184","435265","0","0","54332","10749","0","0","0","0","0"
"60","30/8/2021 00:00:00","斯里兰卡","亚洲","131029","426169","4612","0","286365","8775","0","0","0","0","0"
"61","30/8/2021 00:00:00","阿塞拜疆","亚洲","78749","417996","0","0","333694","5553","0","0","0","0","0"
"62","30/8/2021 00:00:00","科威特","亚洲","18255","409552","189","0","388880","2417","0","0","0","0","0"
"63","30/8/2021 00:00:00","斯洛伐克","欧洲","126894","394742","0","0","255300","12548","0","0","0","0","0"
"64","30/8/2021 00:00:00","缅甸","亚洲","146809","392300","0","0","230308","15183","0","0","0","0","0"
"65","30/8/2021 00:00:00","乌拉圭","南美洲","4460","384692","70","0","374203","6029","0","0","0","0","0"
"66","30/8/2021 00:00:00","克罗地亚","欧洲","9866","373191","0","0","355000","8325","0","0","0","0","0"
"67","30/8/2021 00:00:00","多米尼加","北美洲","20991","349859","239","0","324861","4007","0","0","0","0","0"
"68","30/8/2021 00:00:00","爱尔兰","欧洲","321317","349773","0","0","23364","5092","0","0","0","0","0"
"69","30/8/2021 00:00:00","丹麦","欧洲","34668","345421","5","0","308171","2582","0","0","0","0","0"
"70","30/8/2021 00:00:00","巴勒斯坦","亚洲","21413","337405","1696","0","312320","3672","0","0","0","0","0"
"71","30/8/2021 00:00:00","洪都拉斯","北美洲","224182","335398","0","0","102384","8832","0","0","0","0","0"
"72","30/8/2021 00:00:00","委内瑞拉","南美洲","34520","333125","953","0","294607","3998","0","0","0","0","0"
"73","30/8/2021 00:00:00","埃塞俄比亚","非洲","37465","306117","1040","0","264008","4644","0","0","0","0","0"
"74","30/8/2021 00:00:00","利比亚","非洲","104895","305793","0","0","196714","4184","0","0","0","0","0"
"75","30/8/2021 00:00:00","阿曼","亚洲","15312","302132","0","0","282763","4057","0","0","0","0","0"
"76","30/8/2021 00:00:00","立陶宛","欧洲","23201","297777","0","0","270037","4539","0","0","0","0","0"
"77","30/8/2021 00:00:00","埃及","非洲","38999","287899","255","0","232179","16721","0","0","0","0","0"
"78","30/8/2021 00:00:00","巴林","亚洲","3733","272341","95","0","267220","1388","0","0","0","0","0"
"79","30/8/2021 00:00:00","摩尔多瓦","欧洲","8173","266988","204","0","252421","6394","0","0","0","0","0"
"80","30/8/2021 00:00:00","斯洛文尼亚","欧洲","8024","266514","0","0","254042","4448","0","0","0","0","0"
"81","30/8/2021 00:00:00","韩国","亚洲","67048","250051","1483","0","180719","2284","0","0","0","0","0"
"82","30/8/2021 00:00:00","亚美尼亚","亚洲","15896","241336","0","0","220617","4823","0","0","0","0","0"
"83","30/8/2021 00:00:00","肯尼亚","非洲","39054","234952","363","0","191188","4710","0","0","0","0","0"
"84","30/8/2021 00:00:00","卡塔尔","亚洲","7380","232366","179","0","224384","602","0","0","0","0","0"
"85","30/8/2021 00:00:00","波黑","欧洲","12029","212306","0","0","190492","9785","0","0","0","0","0"
"86","30/8/2021 00:00:00","蒙古","亚洲","40298","211080","2209","0","169851","931","0","0","0","0","0"
